Time,Type,Trial,L Dia [mm],L Area [mm],R Dia [mm],R Area [mm],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Trigger
554262330,SMP,1,4.66,4.84,4.84,4.84,92.6,648.54,79.27,648.36,0
554264326,SMP,1,4.48,4.66,4.84,4.84,85.06,647.05,84.3,648.73,0
554266315,SMP,1,4.48,4.84,4.66,4.66,90.84,637.12,84.77,649.84,0
554268347,SMP,1,4.48,4.66,4.84,4.84,92.67,646.09,86.87,651.19,0
554270343,SMP,1,4.48,4.66,4.66,4.84,93.5,645.28,80.71,647.83,0
554272343,SMP,1,4.48,4.84,4.84,4.84,92.53,637.37,77.12,638.98,0
554274349,SMP,1,4.48,4.84,4.66,4.84,90.33,639.73,83.57,647.69,0
554276341,SMP,1,4.48,4.84,4.66,4.66,90.0,648.35,87.46,645.02,0
554278343,SMP,1,4.48,5.01,4.84,4.66,94.19,656.61,82.89,647.2,0
554280341,SMP,1,4.48,4.84,4.66,4.84,88.58,634.09,77.35,643.48,0
554282339,SMP,1,4.48,4.84,4.66,4.84,89.78,645.13,77.29,638.67,0
554284341,SMP,1,4.66,4.84,4.84,4.66,89.48,641.97,81.47,640.79,0
554286340,SMP,1,4.48,5.01,4.66,4.66,90.9,643.06,78.58,641.29,0
554288345,SMP,1,4.48,4.84,4.84,4.84,88.01,639.89,77.63,640.81,0
554290342,SMP,1,4.48,4.84,4.66,4.66,90.01,645.54,78.92,640.0,0
554292344,SMP,1,4.48,4.84,4.66,4.84,98.03,640.62,81.71,644.41,0
554294343,SMP,1,4.48,4.84,4.66,4.84,92.84,638.99,75.69,641.62,0
554296343,SMP,1,4.48,4.66,4.84,4.84,97.03,652.95,83.07,646.11,0
554298356,SMP,1,4.48,4.84,4.66,4.48,83.35,642.24,76.63,644.72,0
554300351,SMP,1,4.48,4.84,4.66,4.84,90.03,646.31,85.85,649.73,0
554302351,SMP,1,4.48,4.84,4.84,4.84,98.51,644.32,76.44,636.28,0
