Time,Type,Trial,L Dia [mm],L Area [mm],R Dia [mm],R Area [mm],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Trigger
554262330,SMP,1,4.66,4.84,4.84,4.84,92.6,648.54,79.27,648.36,0
554282339,SMP,1,4.48,4.84,4.66,4.84,89.78,645.13,77.29,638.67,0
554302351,SMP,1,4.48,4.84,4.84,4.84,98.51,644.32,76.44,636.28,0
554322352,SMP,1,4.48,4.84,4.66,4.84,94.6,642.72,73.35,640.89,0
554342354,SMP,1,4.48,4.66,4.84,4.84,93.86,645.26,72.3,635.5,0
554362360,SMP,1,4.48,4.84,4.66,4.66,100.24,643.34,75.71,632.22,0
554382366,SMP,1,4.48,4.84,4.84,4.66,97.34,647.89,85.81,647.21,0
554402372,SMP,1,4.48,4.66,4.66,4.66,97.3,644.41,80.52,640.78,0
554422375,SMP,1,4.48,4.66,4.66,4.66,92.75,643.9,81.34,641.05,0
554442382,SMP,1,4.48,4.66,4.66,4.48,90.73,651.69,79.05,643.87,0
554462361,SMP,1,4.48,4.84,4.66,4.66,102.32,652.01,71.28,636.79,0
554482392,SMP,1,4.48,4.84,4.66,4.48,95.81,648.89,73.62,647.91,0
554502393,SMP,1,4.48,4.84,4.66,4.66,93.6,643.28,70.25,647.24,0
554522393,SMP,1,4.48,4.84,4.66,4.48,95.38,639.69,80.04,646.0,0
554542402,SMP,1,4.48,4.84,4.84,4.66,94.86,649.04,78.28,654.23,0
554562402,SMP,1,4.48,4.84,4.66,4.66,93.51,650.54,84.03,659.66,0
554582407,SMP,1,4.66,4.84,4.66,4.66,88.1,647.14,80.43,655.92,0
554602414,SMP,1,4.48,4.84,4.66,4.84,99.64,658.81,81.2,657.53,0
554622422,SMP,1,4.48,4.84,4.66,4.84,96.39,666.22,78.02,655.16,0
554642426,SMP,1,4.48,4.66,4.66,4.66,86.43,652.69,84.91,662.62,0
554662422,SMP,1,4.48,5.01,4.84,4.66,104.77,650.06,85.26,649.99,0
554682436,SMP,1,4.66,5.01,4.84,4.66,105.45,655.04,81.18,653.15,0
554702431,SMP,1,4.66,4.84,4.84,4.48,96.8,656.7,78.68,649.26,0
554722442,SMP,1,4.48,5.01,4.84,4.66,108.95,647.04,68.96,639.94,0
554742441,SMP,1,4.48,4.66,4.84,4.66,104.57,650.79,60.78,647.42,0
554762452,SMP,1,4.66,4.84,4.84,4.66,104.66,653.24,62.91,650.36,0
554782454,SMP,1,4.66,5.01,4.84,4.66,105.67,655.22,66.44,653.79,0
554802452,SMP,1,4.48,4.84,4.84,4.66,111.42,656.4,70.95,646.71,0
554822466,SMP,1,4.48,4.84,4.84,4.48,106.31,656.85,64.67,645.8,0
554842439,SMP,1,4.48,4.84,4.84,4.84,109.27,656.62,71.33,644.75,0
554862473,SMP,1,4.48,4.84,4.84,4.84,99.9,644.45,66.31,639.6,0
554882471,SMP,1,4.48,4.84,4.84,4.84,98.11,648.13,73.99,640.63,0
554902483,SMP,1,4.48,4.84,4.84,4.48,102.6,656.31,81.54,647.12,0
554922483,SMP,1,4.48,4.84,4.84,4.84,96.7,645.15,82.45,646.98,0
554942494,SMP,1,4.48,4.84,4.84,4.84,98.8,658.24,86.15,650.7,0
554962497,SMP,1,4.48,4.84,4.66,4.84,97.85,656.48,95.21,670.35,0
554982495,SMP,1,4.48,4.84,4.66,4.66,97.27,654.24,99.14,653.92,0
555002507,SMP,1,4.48,5.01,4.66,4.66,96.35,648.01,85.17,663.18,0
555022504,SMP,1,4.48,5.01,4.66,4.84,96.69,648.29,86.7,659.89,0
555042516,SMP,1,4.66,5.01,4.84,4.66,158.77,604.6,139.81,626.45,0
555062516,SMP,1,4.84,4.66,4.84,4.48,359.06,515.53,370.13,502.19,0
555082538,SMP,1,5.01,4.84,4.84,4.66,436.19,487.4,399.72,489.71,0
555102521,SMP,1,4.84,4.48,4.66,4.66,424.84,478.3,416.08,490.76,0
555122524,SMP,1,5.01,4.66,4.84,4.48,423.53,484.36,422.11,492.18,0
555142517,SMP,1,4.84,4.84,4.84,4.66,415.11,486.59,416.22,497.9,0
555162539,SMP,1,4.84,4.84,4.84,4.48,423.36,484.64,413.24,500.13,0
555182544,SMP,1,4.84,4.66,4.66,4.66,420.38,485.32,417.84,499.52,0
555202546,SMP,1,4.84,4.84,4.84,4.48,415.96,483.43,410.48,500.79,0
555222555,SMP,1,4.84,4.48,4.66,4.66,415.03,490.24,416.8,503.99,0
555242552,SMP,1,4.84,4.66,4.84,4.48,419.45,481.39,410.97,493.67,0
555262553,SMP,1,5.01,4.48,4.66,4.66,437.12,438.59,417.3,443.96,0
555282565,SMP,1,5.01,4.48,4.66,4.66,438.15,424.34,418.61,440.05,0
555302565,SMP,1,4.84,4.66,4.84,4.66,442.62,419.95,427.97,434.99,0
555322576,SMP,1,5.01,4.66,4.84,4.48,440.46,429.4,438.63,435.82,0
555342552,SMP,1,5.01,4.48,4.66,4.48,436.94,425.73,439.53,435.52,0
555362585,SMP,1,4.84,4.66,4.66,4.48,435.76,431.01,438.24,442.24,0
